mapname;zoneid;memo;noreturnondc;teleport;itemdrop;exploss;pvp;pvpnightmare;guildpvp;items;skill;deadbranches;flywings;butterflywings;turbotrack;noparty;noguild;weather
aldeg_cas04;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0
aldeg_cas05;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0
alde_alche;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
alde_dun01;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
alde_dun02;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
alde_dun03;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
alde_dun04;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
alde_gld;1;1;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
alde_tt02;1;0;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0
amatsu;1;1;0;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0
ama_dun01;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0
ama_dun02;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
ama_dun03;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
ama_fild01;1;1;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
ama_in01;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
ama_in02;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
ama_test;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
anthell01;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
anthell02;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
arena_room;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
auction_01;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
auction_02;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
ayothaya;1;1;0;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0
ayo_dun01;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
ayo_dun02;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
ayo_fild01;1;1;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
ayo_fild02;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
ayo_in01;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
ayo_in02;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
beach_dun;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
beach_dun2;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
beach_dun3;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
cmd_fild01;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
cmd_fild02;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
cmd_fild03;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
cmd_fild04;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
cmd_fild05;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
cmd_fild06;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
cmd_fild07;1;1;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
cmd_fild08;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
cmd_fild09;1;1;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
cmd_in01;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
cmd_in02;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
comodo;1;1;0;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0
c_tower1;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
c_tower2;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
c_tower3;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
c_tower4;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
einbech;1;1;0;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0
einbroch;1;1;0;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0
ein_dun01;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
ein_dun02;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
ein_fild01;1;1;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
ein_fild02;1;1;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
ein_fild03;1;1;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
ein_fild04;1;1;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
ein_fild05;1;1;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
ein_fild06;1;1;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
ein_fild07;1;1;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
ein_fild08;1;1;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
ein_fild09;1;1;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
ein_fild10;1;1;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
ein_in01;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
force_1-1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
force_1-2;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
force_1-3;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
force_2-1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
force_2-2;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
force_2-3;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
force_3-1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
force_3-2;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
force_3-3;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
force_4-1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
force_5-1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
force_map1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
force_map2;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
force_map3;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
gefenia01;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0
gefenia02;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0
gefenia03;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0
gefenia04;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0
geffen;1;1;0;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0
geffen_in;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
gefg_cas01;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0
gefg_cas02;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0
gefg_cas03;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0
gefg_cas04;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0
gefg_cas05;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0
gef_dun00;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
gef_dun01;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
gef_dun02;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
gef_dun03;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
gef_fild00;1;1;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
gef_fild01;1;1;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
gef_fild02;1;1;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
gef_fild03;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
gef_fild04;1;1;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
gef_fild05;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
gef_fild06;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
gef_fild07;1;1;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
gef_fild08;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
gef_fild09;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
gef_fild10;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
gef_fild11;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
gef_fild12;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
gef_fild13;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
gef_fild14;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
gef_tower;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
glast_01;1;1;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
gld_dun01;1;0;1;1;0;1;1;0;0;1;0;1;1;1;0;0;1;0
gld_dun02;1;0;1;1;0;1;1;0;0;1;0;1;1;1;0;0;1;0
gld_dun03;1;0;1;1;0;1;1;0;0;1;0;1;1;1;0;0;1;0
gld_dun04;1;0;1;1;0;1;1;0;0;1;0;1;1;1;0;0;1;0
gl_cas01;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
gl_cas02;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
gl_church;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
gl_chyard;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
gl_dun01;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
gl_dun02;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
gl_in01;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
gl_knt01;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
gl_knt02;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
gl_prison;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
gl_prison1;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
gl_sew01;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
gl_sew02;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
gl_sew03;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
gl_sew04;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
gl_step;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
gonryun;1;1;0;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0
gon_dun01;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
gon_dun02;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
gon_dun03;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
gon_fild01;1;1;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
gon_in;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
gon_test;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
guild_room;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0
guild_vs1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
guild_vs1-1;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0
guild_vs1-2;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0
guild_vs1-3;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0
guild_vs1-4;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0
guild_vs2;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
guild_vs2-1;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0
guild_vs2-2;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0
guild_vs3;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0
guild_vs4;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0
guild_vs5;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0
g_room1-1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
g_room1-2;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
g_room1-3;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
g_room2;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
himinn;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
hugel;1;1;0;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0
hunter_1-1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
hunter_2-1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
hunter_3-1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
hu_fild01;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
hu_fild02;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
hu_fild03;1;1;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
hu_fild04;1;1;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
hu_fild05;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
hu_fild06;1;1;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
hu_fild07;1;1;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
hu_in01;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
ice_dun01;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
ice_dun02;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
ice_dun03;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
ice_dun04;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
in_moc_16;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
in_orcs01;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
in_rogue;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
in_sphinx1;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
in_sphinx2;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
in_sphinx3;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
in_sphinx4;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
in_sphinx5;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
izlu2dun;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
izlude;1;1;0;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0
izlude_in;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
iz_dun00;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
iz_dun01;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
iz_dun02;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
iz_dun03;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
iz_dun04;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
jawaii;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
jawaii_in;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
job_cru;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
job_duncer;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
job_hunte;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
job_hunter;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
job_knight;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
job_knt;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
job_monk;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
job_priest;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
job_prist;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
job_sage;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
job_soul;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
job_star;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
job_sword1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
job_thief1;1;1;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
job_wiz;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
job_wizard;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
juperos_01;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
juperos_02;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
jupe_area1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
jupe_area2;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
jupe_cave;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
jupe_core;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
jupe_ele;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
jupe_ele_r;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
jupe_gate;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
kh_dun01;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0
kh_dun02;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
kh_kiehl01;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
kh_kiehl02;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
kh_mansion;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
kh_rossi;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
kh_school;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
kh_vila;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
knight_1-1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
knight_2-1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
knight_3-1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
lhz_airport;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
lhz_cube;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
lhz_dun01;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
lhz_dun02;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
lhz_dun03;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
lhz_fild01;1;1;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
lhz_fild02;1;1;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
lhz_fild03;1;1;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
lhz_in01;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
lhz_in02;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
lhz_in03;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
lhz_que01;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
lighthalzen;1;1;0;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0
louyang;1;1;0;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0
lou_dun01;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
lou_dun02;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
lou_dun03;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
lou_fild01;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
lou_in01;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
lou_in02;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
mag_dun01;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
mag_dun02;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
mapname;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
mjolnir_01;1;1;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
mjolnir_02;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
mjolnir_03;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
mjolnir_04;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
mjolnir_05;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
mjolnir_06;1;1;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
mjolnir_07;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
mjolnir_08;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
mjolnir_09;1;1;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
mjolnir_10;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
mjolnir_11;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
mjolnir_12;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
mjo_dun01;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
mjo_dun02;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
mjo_dun03;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
moc_castle;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
moc_fild01;1;1;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
moc_fild02;1;1;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
moc_fild03;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
moc_fild04;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
moc_fild05;1;1;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
moc_fild06;1;1;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
moc_fild07;1;1;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
moc_fild08;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
moc_fild09;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
moc_fild10;1;1;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
moc_fild11;1;1;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
moc_fild12;1;1;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
moc_fild13;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
moc_fild14;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
moc_fild15;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
moc_fild16;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
moc_fild17;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
moc_fild18;1;1;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
moc_fild19;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
moc_pryd01;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
moc_pryd02;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
moc_pryd03;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
moc_pryd04;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
moc_pryd05;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
moc_pryd06;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
moc_prydb1;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
moc_ruins;1;0;0;1;0;1;0;0;0;1;0;1;1;1;0;0;0;0
monk_in;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
monk_test;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
morocc;1;1;0;1;0;0;0;0;0;1;0;0;1;1;0;0;0;0
morocc_in;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
new_1-1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
new_1-2;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
new_1-3;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
new_1-4;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
new_2-1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
new_2-2;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
