LEVEL;NOVICE;SWORDMAN;MAGICIAN;ARCHER;ACOLYTE;MERCHANT;THIEF;KNIGHT;PRIEST;WIZARD;BLACKSMITH;HUNTER;ASSASSIN;CRUSADER;ROGUE;SAGE;ALCHEMIST;MONK;BARD;DANCER;SUPER_NOVICE;HIGH_NOVICE;HIGH_SWORDMAN;HIGH_MAGICIAN;HIGH_ARCHER;HIGH_ACOLYTE;HIGH_MERCHANT;HIGH_THIEF;LORD_KNIGHT;HIGH_PRIEST;HIGH_WIZARD;WHITESMITH;SNIPER;ASSASSIN_CROSS;PALADIN;STALKER;PROFESSOR;BIOCHEMIST;CHAMPION;CLOWN;GYPSY;BABY_NOVICE;BABY_SWORDMAN;BABY_MAGICIAN;BABY_ARCHER;BABY_ACOLYTE;BABY_MERCHANT;BABY_THIEF;BABY_KNIGHT;BABY_PRIEST;BABY_WIZARD;BABY_BLACKSMITH;BABY_HUNTER;BABY_ASSASSIN;BABY_CRUSADER;BABY_ROGUE;BABY_SAGE;BABY_ALCHEMIST;BABY_MONK;BABY_BARD;BABY_DANCER;BABY_SUPER_NOVICE;TAEKWON;STAR_GLADIATOR;SOUL_LINKER;GUNSLINGER;NINJA
12;22;34;82;34;70;46;34;46;106;118;58;58;58;66;66;94;70;58;82;82;22;22;34;82;34;70;46;34;46;106;118;58;58;58;66;70;94;58;66;82;82;22;34;82;34;70;46;34;46;106;118;58;58;58;66;66;94;70;58;82;82;22;34;66;118;45;47
13;23;36;88;36;75;49;36;49;114;127;62;62;62;71;71;101;75;62;88;88;23;23;36;88;36;75;49;36;49;114;127;62;62;62;71;75;101;62;71;88;88;23;36;88;36;75;49;36;49;114;127;62;62;62;71;71;101;75;62;88;88;23;36;71;127;48;50
14;24;38;94;38;80;52;38;52;122;136;66;66;66;75;75;108;80;66;94;94;24;24;38;94;38;80;52;38;52;122;136;66;66;66;75;80;108;66;75;94;94;24;38;94;38;80;52;38;52;122;136;66;66;66;75;75;108;80;66;94;94;24;38;75;136;51;53
15;25;40;100;40;85;55;40;55;130;145;70;70;70;80;80;115;85;70;100;100;25;25;40;100;40;85;55;40;55;130;145;70;70;70;80;85;115;70;80;100;100;25;40;100;40;85;55;40;55;130;145;70;70;70;80;80;115;85;70;100;100;25;40;80;145;54;56
16;26;42;106;42;90;58;42;58;138;154;74;74;74;85;85;122;90;74;106;106;26;26;42;106;42;90;58;42;58;138;154;74;74;74;85;90;122;74;85;106;106;26;42;106;42;90;58;42;58;138;154;74;74;74;85;85;122;90;74;106;106;26;42;85;154;57;59
17;27;44;112;44;95;61;44;61;146;163;78;78;78;89;89;129;95;78;112;112;27;27;44;112;44;95;61;44;61;146;163;78;78;78;89;95;129;78;89;112;112;27;44;112;44;95;61;44;61;146;163;78;78;78;89;89;129;95;78;112;112;27;44;89;163;61;62
18;28;46;118;46;100;64;46;64;154;172;82;82;82;94;94;136;100;82;118;118;28;28;46;118;46;100;64;46;64;154;172;82;82;82;94;100;136;82;94;118;118;28;46;118;46;100;64;46;64;154;172;82;82;82;94;94;136;100;82;118;118;28;46;94;172;64;65
19;29;48;124;48;105;67;48;67;162;181;86;86;86;99;99;143;105;86;124;124;29;29;48;124;48;105;67;48;67;162;181;86;86;86;99;105;143;86;99;124;124;29;48;124;48;105;67;48;67;162;181;86;86;86;99;99;143;105;86;124;124;29;48;99;181;67;68
20;30;50;130;50;110;70;50;70;170;190;90;90;90;104;104;150;110;90;130;130;30;30;50;130;50;110;70;50;70;170;190;90;90;90;104;110;150;90;104;130;130;30;50;130;50;110;70;50;70;170;190;90;90;90;104;104;150;110;90;130;130;30;50;104;190;70;71
21;31;52;136;52;115;73;52;73;178;199;94;94;94;108;108;157;115;94;136;136;31;31;52;136;52;115;73;52;73;178;199;94;94;94;108;115;157;94;108;136;136;31;52;136;52;115;73;52;73;178;199;94;94;94;108;108;157;115;94;136;136;31;52;108;199;73;75
22;32;54;142;54;120;76;54;76;186;208;98;98;98;113;113;164;120;98;142;142;32;32;54;142;54;120;76;54;76;186;208;98;98;98;113;120;164;98;113;142;142;32;54;142;54;120;76;54;76;186;208;98;98;98;113;113;164;120;98;142;142;32;54;113;208;76;79
23;33;56;148;56;125;79;56;79;194;217;102;102;102;118;118;171;125;102;148;148;33;33;56;148;56;125;79;56;79;194;217;102;102;102;118;125;171;102;118;148;148;33;56;148;56;125;79;56;79;194;217;102;102;102;118;118;171;125;102;148;148;33;56;118;217;79;83
24;34;58;154;58;130;82;58;82;202;226;106;106;106;122;122;178;130;106;154;154;34;34;58;154;58;130;82;58;82;202;226;106;106;106;122;130;178;106;122;154;154;34;58;154;58;130;82;58;82;202;226;106;106;106;122;122;178;130;106;154;154;34;58;122;226;82;87
25;35;60;160;60;135;85;60;85;210;235;110;110;110;127;127;185;135;110;160;160;35;35;60;160;60;135;85;60;85;210;235;110;110;110;127;135;185;110;127;160;160;35;60;160;60;135;85;60;85;210;235;110;110;110;127;127;185;135;110;160;160;35;60;127;235;85;91
26;36;62;166;62;140;88;62;88;218;244;114;114;114;132;132;192;140;114;166;166;36;36;62;166;62;140;88;62;88;218;244;114;114;114;132;140;192;114;132;166;166;36;62;166;62;140;88;62;88;218;244;114;114;114;132;132;192;140;114;166;166;36;62;132;244;89;95
27;37;64;172;64;145;91;64;91;226;253;118;118;118;136;136;199;145;118;172;172;37;37;64;172;64;145;91;64;91;226;253;118;118;118;136;145;199;118;136;172;172;37;64;172;64;145;91;64;91;226;253;118;118;118;136;136;199;145;118;172;172;37;64;136;253;93;99
28;38;66;178;66;150;94;66;94;234;262;122;122;122;141;141;206;150;122;178;178;38;38;66;178;66;150;94;66;94;234;262;122;122;122;141;150;206;122;141;178;178;38;66;178;66;150;94;66;94;234;262;122;122;122;141;141;206;150;122;178;178;38;66;141;262;97;103
29;39;68;184;68;155;97;68;97;242;271;126;126;126;146;146;213;155;126;184;184;39;39;68;184;68;155;97;68;97;242;271;126;126;126;146;155;213;126;146;184;184;39;68;184;68;155;97;68;97;242;271;126;126;126;146;146;213;155;126;184;184;39;68;146;271;101;107
30;40;70;190;70;160;100;70;100;250;280;130;130;130;151;151;220;160;130;190;190;40;40;70;190;70;160;100;70;100;250;280;130;130;130;151;160;220;130;151;190;190;40;70;190;70;160;100;70;100;250;280;130;130;130;151;151;220;160;130;190;190;40;70;151;280;105;111
31;41;72;196;72;165;103;72;103;258;289;134;134;134;155;155;227;165;134;196;196;41;41;72;196;72;165;103;72;103;258;289;134;134;134;155;165;227;134;155;196;196;41;72;196;72;165;103;72;103;258;289;134;134;134;155;155;227;165;134;196;196;41;72;155;289;109;115
32;42;74;202;74;170;106;74;106;266;298;138;138;138;160;160;234;170;138;202;202;42;42;74;202;74;170;106;74;106;266;298;138;138;138;160;170;234;138;160;202;202;42;74;202;74;170;106;74;106;266;298;138;138;138;160;160;234;170;138;202;202;42;74;160;298;113;119
33;43;76;208;76;175;109;76;109;274;307;142;142;142;165;165;241;175;142;208;208;43;43;76;208;76;175;109;76;109;274;307;142;142;142;165;175;241;142;165;208;208;43;76;208;76;175;109;76;109;274;307;142;142;142;165;165;241;175;142;208;208;43;76;165;307;117;123
34;44;78;214;78;180;112;78;112;282;316;146;146;146;169;169;248;180;146;214;214;44;44;78;214;78;180;112;78;112;282;316;146;146;146;169;180;248;146;169;214;214;44;78;214;78;180;112;78;112;282;316;146;146;146;169;169;248;180;146;214;214;44;78;169;316;121;127
35;45;80;220;80;185;115;80;115;290;325;150;150;150;174;174;255;185;150;220;220;45;45;80;220;80;185;115;80;115;290;325;150;150;150;174;185;255;150;174;220;220;45;80;220;80;185;115;80;115;290;325;150;150;150;174;174;255;185;150;220;220;45;80;174;325;125;131
36;46;82;226;82;190;118;82;118;298;334;154;154;154;179;179;262;190;154;226;226;46;46;82;226;82;190;118;82;118;298;334;154;154;154;179;190;262;154;179;226;226;46;82;226;82;190;118;82;118;298;334;154;154;154;179;179;262;190;154;226;226;46;82;179;334;129;135
37;47;84;232;84;195;121;84;121;306;343;158;158;158;183;183;269;195;158;232;232;47;47;84;232;84;195;121;84;121;306;343;158;158;158;183;195;269;158;183;232;232;47;84;232;84;195;121;84;121;306;343;158;158;158;183;183;269;195;158;232;232;47;84;183;343;131;139
38;48;86;238;86;200;124;86;124;314;352;162;162;162;188;188;276;200;162;238;238;48;48;86;238;86;200;124;86;124;314;352;162;162;162;188;200;276;162;188;238;238;48;86;238;86;200;124;86;124;314;352;162;162;162;188;188;276;200;162;238;238;48;86;188;352;135;143
39;49;88;244;88;205;127;88;127;322;361;166;166;166;193;193;283;205;166;244;244;49;49;88;244;88;205;127;88;127;322;361;166;166;166;193;205;283;166;193;244;244;49;88;244;88;205;127;88;127;322;361;166;166;166;193;193;283;205;166;244;244;49;88;193;361;139;147
40;50;90;250;90;210;130;90;130;330;370;170;170;170;198;198;290;210;170;250;250;50;50;90;250;90;210;130;90;130;330;370;170;170;170;198;210;290;170;198;250;250;50;90;250;90;210;130;90;130;330;370;170;170;170;198;198;290;210;170;250;250;50;90;198;370;141;151
41;51;92;256;92;215;133;92;133;338;379;174;174;174;202;202;297;215;174;256;256;51;51;92;256;92;215;133;92;133;338;379;174;174;174;202;215;297;174;202;256;256;51;92;256;92;215;133;92;133;338;379;174;174;174;202;202;297;215;174;256;256;51;92;202;379;145;156
42;52;94;262;94;220;136;94;136;346;388;178;178;178;207;207;304;220;178;262;262;52;52;94;262;94;220;136;94;136;346;388;178;178;178;207;220;304;178;207;262;262;52;94;262;94;220;136;94;136;346;388;178;178;178;207;207;304;220;178;262;262;52;94;207;388;149;161
43;53;96;268;96;225;139;96;139;354;397;182;182;182;212;212;311;225;182;268;268;53;53;96;268;96;225;139;96;139;354;397;182;182;182;212;225;311;182;212;268;268;53;96;268;96;225;139;96;139;354;397;182;182;182;212;212;311;225;182;268;268;53;96;212;397;153;166
44;54;98;274;98;230;142;98;142;362;406;186;186;186;216;216;318;230;186;274;274;54;54;98;274;98;230;142;98;142;362;406;186;186;186;216;230;318;186;216;274;274;54;98;274;98;230;142;98;142;362;406;186;186;186;216;216;318;230;186;274;274;54;98;216;406;157;171
45;55;100;280;100;235;145;100;145;370;415;190;190;190;221;221;325;235;190;280;280;55;55;100;280;100;235;145;100;145;370;415;190;190;190;221;235;325;190;221;280;280;55;100;280;100;235;145;100;145;370;415;190;190;190;221;221;325;235;190;280;280;55;100;221;415;161;176
46;56;102;286;102;240;148;102;148;378;424;194;194;194;226;226;332;240;194;286;286;56;56;102;286;102;240;148;102;148;378;424;194;194;194;226;240;332;194;226;286;286;56;102;286;102;240;148;102;148;378;424;194;194;194;226;226;332;240;194;286;286;56;102;226;424;165;181
47;57;104;292;104;245;151;104;151;386;433;198;198;198;230;230;339;245;198;292;292;57;57;104;292;104;245;151;104;151;386;433;198;198;198;230;245;339;198;230;292;292;57;104;292;104;245;151;104;151;386;433;198;198;198;230;230;339;245;198;292;292;57;104;230;433;169;186
48;58;106;298;106;250;154;106;154;394;442;202;202;202;235;235;346;250;202;298;298;58;58;106;298;106;250;154;106;154;394;442;202;202;202;235;250;346;202;235;298;298;58;106;298;106;250;154;106;154;394;442;202;202;202;235;235;346;250;202;298;298;58;106;235;442;173;191
49;59;108;304;108;255;157;108;157;402;451;206;206;206;240;240;353;255;206;304;304;59;59;108;304;108;255;157;108;157;402;451;206;206;206;240;255;353;206;240;304;304;59;108;304;108;255;157;108;157;402;451;206;206;206;240;240;353;255;206;304;304;59;108;240;451;177;196
50;60;110;310;110;260;160;110;160;410;460;210;210;210;245;245;360;260;210;310;310;60;60;110;310;110;260;160;110;160;410;460;210;210;210;245;260;360;210;245;310;310;60;110;310;110;260;160;110;160;410;460;210;210;210;245;245;360;260;210;310;310;60;110;245;460;181;201
51;61;112;316;112;265;163;112;163;418;469;214;214;214;249;249;367;265;214;316;316;61;61;112;316;112;265;163;112;163;418;469;214;214;214;249;265;367;214;249;316;316;61;112;316;112;265;163;112;163;418;469;214;214;214;249;249;367;265;214;316;316;61;112;249;469;186;206
52;62;114;322;114;270;166;114;166;426;478;218;218;218;254;254;374;270;218;322;322;62;62;114;322;114;270;166;114;166;426;478;218;218;218;254;270;374;218;254;322;322;62;114;322;114;270;166;114;166;426;478;218;218;218;254;254;374;270;218;322;322;62;114;254;478;191;211
53;63;116;328;116;275;169;116;169;434;487;222;222;222;259;259;381;275;222;328;328;63;63;116;328;116;275;169;116;169;434;487;222;222;222;259;275;381;222;259;328;328;63;116;328;116;275;169;116;169;434;487;222;222;222;259;259;381;275;222;328;328;63;116;259;487;196;216
54;64;118;334;118;280;172;118;172;442;496;226;226;226;263;263;388;280;226;334;334;64;64;118;334;118;280;172;118;172;442;496;226;226;226;263;280;388;226;263;334;334;64;118;334;118;280;172;118;172;442;496;226;226;226;263;263;388;280;226;334;334;64;118;263;496;201;221
55;65;120;340;120;285;175;120;175;450;505;230;230;230;268;268;395;285;230;340;340;65;65;120;340;120;285;175;120;175;450;505;230;230;230;268;285;395;230;268;340;340;65;120;340;120;285;175;120;175;450;505;230;230;230;268;268;395;285;230;340;340;65;120;268;505;206;226
56;66;122;346;122;290;178;122;178;458;514;234;234;234;273;273;402;290;234;346;346;66;66;122;346;122;290;178;122;178;458;514;234;234;234;273;290;402;234;273;346;346;66;122;346;122;290;178;122;178;458;514;234;234;234;273;273;402;290;234;346;346;66;122;273;514;211;231
57;67;124;352;124;295;181;124;181;466;523;238;238;238;277;277;409;295;238;352;352;67;67;124;352;124;295;181;124;181;466;523;238;238;238;277;295;409;238;277;352;352;67;124;352;124;295;181;124;181;466;523;238;238;238;277;277;409;295;238;352;352;67;124;277;523;216;236
58;68;126;358;126;300;184;126;184;474;532;242;242;242;282;282;416;300;242;358;358;68;68;126;358;126;300;184;126;184;474;532;242;242;242;282;300;416;242;282;358;358;68;126;358;126;300;184;126;184;474;532;242;242;242;282;282;416;300;242;358;358;68;126;282;532;221;241
59;69;128;364;128;305;187;128;187;482;541;246;246;246;287;287;423;305;246;364;364;69;69;128;364;128;305;187;128;187;482;541;246;246;246;287;305;423;246;287;364;364;69;128;364;128;305;187;128;187;482;541;246;246;246;287;287;423;305;246;364;364;69;128;287;541;226;246
60;70;130;370;130;310;190;130;190;490;550;250;250;250;292;292;430;310;250;370;370;70;70;130;370;130;310;190;130;190;490;550;250;250;250;292;310;430;250;292;370;370;70;130;370;130;310;190;130;190;490;550;250;250;250;292;292;430;310;250;370;370;70;130;292;550;231;251
61;71;132;376;132;315;193;132;193;498;559;254;254;254;296;296;437;315;254;376;376;71;71;132;376;132;315;193;132;193;498;559;254;254;254;296;315;437;254;296;376;376;71;132;376;132;315;193;132;193;498;559;254;254;254;296;296;437;315;254;376;376;71;132;296;559;236;257
62;72;134;382;134;320;196;134;196;506;568;258;258;258;301;301;444;320;258;382;382;72;72;134;382;134;320;196;134;196;506;568;258;258;258;301;320;444;258;301;382;382;72;134;382;134;320;196;134;196;506;568;258;258;258;301;301;444;320;258;382;382;72;134;301;568;241;263
63;73;136;388;136;325;199;136;199;514;577;262;262;262;306;306;451;325;262;388;388;73;73;136;388;136;325;199;136;199;514;577;262;262;262;306;325;451;262;306;388;388;73;136;388;136;325;199;136;199;514;577;262;262;262;306;306;451;325;262;388;388;73;136;306;577;246;269
64;74;138;394;138;330;202;138;202;522;586;266;266;266;310;310;458;330;266;394;394;74;74;138;394;138;330;202;138;202;522;586;266;266;266;310;330;458;266;310;394;394;74;138;394;138;330;202;138;202;522;586;266;266;266;310;310;458;330;266;394;394;74;138;310;586;251;275
65;75;140;400;140;335;205;140;205;530;595;270;270;270;315;315;465;335;270;400;400;75;75;140;400;140;335;205;140;205;530;595;270;270;270;315;335;465;270;315;400;400;75;140;400;140;335;205;140;205;530;595;270;270;270;315;315;465;335;270;400;400;75;140;315;595;256;281
66;76;142;406;142;340;208;142;208;538;604;274;274;274;320;320;472;340;274;406;406;76;76;142;406;142;340;208;142;208;538;604;274;274;274;320;340;472;274;320;406;406;76;142;406;142;340;208;142;208;538;604;274;274;274;320;320;472;340;274;406;406;76;142;320;604;261;287
67;77;144;412;144;345;211;144;211;546;613;278;278;278;324;324;479;345;278;412;412;77;77;144;412;144;345;211;144;211;546;613;278;278;278;324;345;479;278;324;412;412;77;144;412;144;345;211;144;211;546;613;278;278;278;324;324;479;345;278;412;412;77;144;324;613;266;293
68;78;146;418;146;350;214;146;214;554;622;282;282;282;329;329;486;350;282;418;418;78;78;146;418;146;350;214;146;214;554;622;282;282;282;329;350;486;282;329;418;418;78;146;418;146;350;214;146;214;554;622;282;282;282;329;329;486;350;282;418;418;78;146;329;622;271;299
69;79;148;424;148;355;217;148;217;562;631;286;286;286;334;334;493;355;286;424;424;79;79;148;424;148;355;217;148;217;562;631;286;286;286;334;355;493;286;334;424;424;79;148;424;148;355;217;148;217;562;631;286;286;286;334;334;493;355;286;424;424;79;148;334;631;276;305
70;80;150;430;150;360;220;150;220;570;640;290;290;290;339;339;500;360;290;430;430;80;80;150;430;150;360;220;150;220;570;640;290;290;290;339;360;500;290;339;430;430;80;150;430;150;360;220;150;220;570;640;290;290;290;339;339;500;360;290;430;430;80;150;339;635;281;311
71;81;152;436;152;365;223;152;223;578;649;294;294;294;343;343;507;365;294;436;436;81;81;152;436;152;365;223;152;223;578;649;294;294;294;343;365;507;294;343;436;436;81;152;436;152;365;223;152;223;578;649;294;294;294;343;343;507;365;294;436;436;81;151;341;640;286;317
72;82;154;442;154;370;226;154;226;586;658;298;298;298;348;348;514;370;298;442;442;82;82;154;442;154;370;226;154;226;586;658;298;298;298;348;370;514;298;348;442;442;82;154;442;154;370;226;154;226;586;658;298;298;298;348;348;514;370;298;442;442;82;152;343;645;291;323
73;83;156;448;156;375;229;156;229;594;667;302;302;302;353;353;521;375;302;448;448;83;83;156;448;156;375;229;156;229;594;667;302;302;302;353;375;521;302;353;448;448;83;156;448;156;375;229;156;229;594;667;302;302;302;353;353;521;375;302;448;448;83;153;345;650;296;329
74;84;158;454;158;380;232;158;232;602;676;306;306;306;357;357;528;380;306;454;454;84;84;158;454;158;380;232;158;232;602;676;306;306;306;357;380;528;306;357;454;454;84;158;454;158;380;232;158;232;602;676;306;306;306;357;357;528;380;306;454;454;84;154;347;655;301;335
75;85;160;460;160;385;235;160;235;610;685;310;310;310;362;362;535;385;310;460;460;85;85;160;460;160;385;235;160;235;610;685;310;310;310;362;385;535;310;362;460;460;85;160;460;160;385;235;160;235;610;685;310;310;310;362;362;535;385;310;460;460;85;155;349;660;306;341
76;86;162;466;162;390;238;162;238;618;694;314;314;314;367;367;542;390;314;466;466;86;86;162;466;162;390;238;162;238;618;694;314;314;314;367;390;542;314;367;466;466;86;162;466;162;390;238;162;238;618;694;314;314;314;367;367;542;390;314;466;466;86;156;351;665;312;347
77;87;164;472;164;395;241;164;241;626;703;318;318;318;371;371;549;395;318;472;472;87;87;164;472;164;395;241;164;241;626;703;318;318;318;371;395;549;318;371;472;472;87;164;472;164;395;241;164;241;626;703;318;318;318;371;371;549;395;318;472;472;87;157;353;670;318;353
78;88;166;478;166;400;244;166;244;634;712;322;322;322;376;376;556;400;322;478;478;88;88;166;478;166;400;244;166;244;634;712;322;322;322;376;400;556;322;376;478;478;88;166;478;166;400;244;166;244;634;712;322;322;322;376;376;556;400;322;478;478;88;158;355;675;324;359
79;89;168;484;168;405;247;168;247;642;721;326;326;326;381;381;563;405;326;484;484;89;89;168;484;168;405;247;168;247;642;721;326;326;326;381;405;563;326;381;484;484;89;168;484;168;405;247;168;247;642;721;326;326;326;381;381;563;405;326;484;484;89;159;357;680;336;365
80;90;170;490;170;410;250;170;250;650;730;330;330;330;386;386;570;410;330;490;490;90;90;170;490;170;410;250;170;250;650;730;330;330;330;386;410;570;330;386;490;490;90;170;490;170;410;250;170;250;650;730;330;330;330;386;386;570;410;330;490;490;90;170;386;730;342;371
81;91;172;496;172;415;253;172;253;658;739;334;334;334;390;390;577;415;334;496;496;91;91;172;496;172;415;253;172;253;658;739;334;334;334;390;415;577;334;390;496;496;91;172;496;172;415;253;172;253;658;739;334;334;334;390;390;577;415;334;496;496;91;171;388;735;348;378
82;92;174;502;174;420;256;174;256;666;748;338;338;338;395;395;584;420;338;502;502;92;92;174;502;174;420;256;174;256;666;748;338;338;338;395;420;584;338;395;502;502;92;174;502;174;420;256;174;256;666;748;338;338;338;395;395;584;420;338;502;502;92;172;390;740;354;386
83;93;176;508;176;425;259;176;259;674;757;342;342;342;400;400;591;425;342;508;508;93;93;176;508;176;425;259;176;259;674;757;342;342;342;400;425;591;342;400;508;508;93;176;508;176;425;259;176;259;674;757;342;342;342;400;400;591;425;342;508;508;93;173;392;745;360;394
84;94;178;514;178;430;262;178;262;682;766;346;346;346;404;404;598;430;346;514;514;94;94;178;514;178;430;262;178;262;682;766;346;346;346;404;430;598;346;404;514;514;94;178;514;178;430;262;178;262;682;766;346;346;346;404;404;598;430;346;514;514;94;174;394;750;366;402
85;95;180;520;180;435;265;180;265;690;775;350;350;350;409;409;605;435;350;520;520;95;95;180;520;180;435;265;180;265;690;775;350;350;350;409;435;605;350;409;520;520;95;180;520;180;435;265;180;265;690;775;350;350;350;409;409;605;435;350;520;520;95;175;396;755;372;410
86;96;182;526;182;440;268;182;268;698;784;354;354;354;414;414;612;440;354;526;526;96;96;182;526;182;440;268;182;268;698;784;354;354;354;414;440;612;354;414;526;526;96;182;526;182;440;268;182;268;698;784;354;354;354;414;414;612;440;354;526;526;96;176;398;760;378;418
87;97;184;532;184;445;271;184;271;706;793;358;358;358;418;418;619;445;358;532;532;97;97;184;532;184;445;271;184;271;706;793;358;358;358;418;445;619;358;418;532;532;97;184;532;184;445;271;184;271;706;793;358;358;358;418;418;619;445;358;532;532;97;177;400;765;384;426
88;98;186;538;186;450;274;186;274;714;802;362;362;362;423;423;626;450;362;538;538;98;98;186;538;186;450;274;186;274;714;802;362;362;362;423;450;626;362;423;538;538;98;186;538;186;450;274;186;274;714;802;362;362;362;423;423;626;450;362;538;538;98;178;402;770;390;434
89;99;188;544;188;455;277;188;277;722;811;366;366;366;428;428;633;455;366;544;544;99;99;188;544;188;455;277;188;277;722;811;366;366;366;428;455;633;366;428;544;544;99;188;544;188;455;277;188;277;722;811;366;366;366;428;428;633;455;366;544;544;99;188;404;775;396;442
90;100;190;550;190;460;280;190;280;730;820;370;370;370;433;433;640;460;370;550;550;100;100;190;550;190;460;280;190;280;730;820;370;370;370;433;460;640;370;433;550;550;100;190;550;190;460;280;190;280;730;820;370;370;370;433;433;640;460;370;550;550;100;190;430;820;402;450
91;101;192;556;192;465;283;192;283;738;829;374;374;374;437;437;647;465;374;556;556;101;101;192;556;192;465;283;192;283;738;829;374;374;374;437;465;647;374;437;556;556;101;192;556;192;465;283;192;283;738;829;374;374;374;437;437;647;465;374;556;556;101;190;433;825;408;458
92;102;194;562;194;470;286;194;286;746;838;378;378;378;442;442;654;470;378;562;562;102;102;194;562;194;470;286;194;286;746;838;378;378;378;442;470;654;378;442;562;562;102;194;562;194;470;286;194;286;746;838;378;378;378;442;442;654;470;378;562;562;102;190;436;830;414;466
93;103;196;568;196;475;289;196;289;754;847;382;382;382;447;447;661;475;382;568;568;103;103;196;568;196;475;289;196;289;754;847;382;382;382;447;475;661;382;447;568;568;103;196;568;196;475;289;196;289;754;847;382;382;382;447;447;661;475;382;568;568;103;190;439;845;420;474
94;104;198;574;198;480;292;198;292;762;856;386;386;386;451;451;668;480;386;574;574;104;104;198;574;198;480;292;198;292;762;856;386;386;386;451;480;668;386;451;574;574;104;198;574;198;480;292;198;292;762;856;386;386;386;451;451;668;480;386;574;574;104;190;442;850;426;482
